Template Name,Medical Department,Link existing Item,Item,Is Billable,Description,Patient Care Type,Allow Stock Consumption,Sample,Item Group,HSN/SAC
ORAL CARE PRE/POST OP - Clinic PREP fee per visit,,1,DEN-701-1,1,"Description:

Indications: Clinic PREP fee per visit
Frequency:   Once
Repeat For:  None
# Sessions:  1",,1,,Dental,999312
ORAL CARE PRE/POST OP - ORAL Post-operative syringing & suction H2O2 and betadine treatment-oral care.,,1,DEN-701-2,1,"Description:

Indications: ORAL Post-operative syringing & suction H2O2 and betadine treatment-oral care.
Frequency:   Once
Repeat For:  None
# Sessions:  1",,1,,Dental,999312
ORAL CARE PRE/POST OP - Oral Full mouth polishing,,1,DEN-701-3,1,"Description:

Indications: Oral Full mouth polishing
Frequency:   Once
Repeat For:  None
# Sessions:  1",,1,,Dental,999312
ORAL CARE PRE/POST OP - Oral Filing for sharp teeth each unit,,1,DEN-701-4,1,"Description:

Indications: Oral Filing for sharp teeth each unit
Frequency:   Once
Repeat For:  None
# Sessions:  1",,1,,Dental,999312
ORAL CARE PRE/POST OP - Fluoride Treatment before and after Radiotherapy,,1,DEN-701-5,1,"Description:

Indications: Fluoride Treatment before and after Radiotherapy
Frequency:   Once
Repeat For:  None
# Sessions:  1",,1,,Dental,999312
ORAL CARE PRE/POST OP - Root Planning (Per Quadrant),,1,DEN-701-6,1,"Description:

Indications: Root Planning (Per Quadrant)
Frequency:   Once
Repeat For:  None
# Sessions:  1",,1,,Dental,999312
ORAL CARE PRE/POST OP - Oral Packing Class 1,,1,DEN-701-7,1,"Description:

Indications: Oral Packing Class 1
Frequency:   Once
Repeat For:  None
# Sessions:  1",,1,,Dental,999312
ORAL CARE PRE/POST OP - Oral Packing Class 2,,1,DEN-701-8,1,"Description:

Indications: Oral Packing Class 2
Frequency:   Once
Repeat For:  None
# Sessions:  1",,1,,Dental,999312
ORAL CARE PRE/POST OP - Oral Packing Class 3,,1,DEN-701-9,1,"Description:

Indications: Oral Packing Class 3
Frequency:   Once
Repeat For:  None
# Sessions:  1",,1,,Dental,999312
ORAL CARE PRE/POST OP - Oral Minor Procedures,,1,DEN-701-10,1,"Description:

Indications: Oral Minor Procedures
Frequency:   Once
Repeat For:  None
# Sessions:  1",,1,,Dental,999312
ORAL CARE PRE/POST OP - Oral Minor excisions,,1,DEN-701-11,1,"Description:

Indications: Oral Minor excisions
Frequency:   Once
Repeat For:  None
# Sessions:  1",,1,,Dental,999312
ORAL PROPHYLAXIS - PRE or Postoperative/RT Dental Care I,,1,DEN-702-1,1,"Description:

Indications: PRE or Postoperative/RT Dental Care I
Frequency:   Once
Repeat For:  None
# Sessions:  1",,1,,Dental,999312
ORAL PROPHYLAXIS - Pre or postoperative /RT Dental Care II,,1,DEN-702-2,1,"Description:

Indications: Pre or postoperative /RT Dental Care II
Frequency:   Once
Repeat For:  None
# Sessions:  1",,1,,Dental,999312
ORAL PROPHYLAXIS - Pre or postoperative /RT Dental Care III,,1,DEN-702-3,1,"Description:

Indications: Pre or postoperative /RT Dental Care III
Frequency:   Once
Repeat For:  None
# Sessions:  1",,1,,Dental,999312
ORAL REHABILITATION - Removal Partial Denture plate,Oral Rehabilitation,1,DEN-703-1,1,"Description:

Indications: Removal Partial Denture plate
Frequency:   Once
Repeat For:  None
# Sessions:  1",OPD,1,,Dental,999312
ORAL REHABILITATION - Removal partial denture,Oral Rehabilitation,1,DEN-703-2,1,"Description:

Indications: Removal partial denture
Frequency:   Once
Repeat For:  None
# Sessions:  1",OPD,1,,Dental,999312
ORAL REHABILITATION - Complete Denture,Oral Rehabilitation,1,DEN-703-3,1,"Description:

Indications: Complete Denture
Frequency:   Once
Repeat For:  None
# Sessions:  1",OPD,1,,Dental,999312
ORAL REHABILITATION - Bite Guard (upper or lower),Oral Rehabilitation,1,DEN-703-4,1,"Description:

Indications: Bite Guard (upper or lower)
Frequency:   Once
Repeat For:  None
# Sessions:  1",OPD,1,,Dental,999312
ORAL REHABILITATION - Dental Guide Flange post Hemimandibulectomy G-I,Oral Rehabilitation,1,DEN-704-1,1,"Description:

Indications: Dental Guide Flange post Hemimandibulectomy G-I
Frequency:   Once
Repeat For:  None
# Sessions:  1",OPD,1,,Dental,999312
ORAL REHABILITATION - Dental Guide Flange G-II,Oral Rehabilitation,1,DEN-704-2,1,"Description:

Indications: Dental Guide Flange G-II
Frequency:   Once
Repeat For:  None
# Sessions:  1",OPD,1,,Dental,999312
ORAL REHABILITATION - Obturator post operative procedure,Oral Rehabilitation,1,DEN-705,1,"Description:

Indications: Obturator post operative procedure
Frequency:   Once
Repeat For:  None
# Sessions:  1",OPD,1,,Dental,999312
ORAL REHABILITATION - Implants – Permanent tooth,Oral Rehabilitation,1,DEN-706,1,"Description:

Indications: Implants – Permanent tooth
Frequency:   Once
Repeat For:  None
# Sessions:  1",OPD,1,,Dental,999312
ORAL REHABILITATION - Bridge Crown:- Metallic (Porcelain Fused Metal),Oral Rehabilitation,1,DEN-707,1,"Description:

Indications: Bridge Crown:- Metallic (Porcelain Fused Metal)
Frequency:   Once
Repeat For:  None
# Sessions:  1",OPD,1,,Dental,999312
ORAL REHABILITATION - Metal Free Zirconia 5 years,Oral Rehabilitation,1,DEN-708-1,1,"Description:

Indications: Metal Free Zirconia 5 years
Frequency:   Once
Repeat For:  None
# Sessions:  1",OPD,1,,Dental,999312
ORAL REHABILITATION - Metal free Zirconia 10 years,Oral Rehabilitation,1,DEN-708-2,1,"Description:

Indications: Metal free Zirconia 10 years
Frequency:   Once
Repeat For:  None
# Sessions:  1",OPD,1,,Dental,999312
ORAL REHABILITATION - Metal Free Zirconia 15 years,Oral Rehabilitation,1,DEN-708-3,1,"Description:

Indications: Metal Free Zirconia 15 years
Frequency:   Once
Repeat For:  None
# Sessions:  1",OPD,1,,Dental,999312
ORAL REHABILITATION - Root Canal Treatment(RCT) Anterior,Oral Rehabilitation,1,DEN-709-1,1,"Description:

Indications: Root Canal Treatment(RCT) Anterior
Frequency:   Once
Repeat For:  None
# Sessions:  1",OPD,1,,Dental,999312
ORAL REHABILITATION - Root Canal Treatment(RCT) Posterior,Oral Rehabilitation,1,DEN-709-2,1,"Description:

Indications: Root Canal Treatment(RCT) Posterior
Frequency:   Once
Repeat For:  None
# Sessions:  1",OPD,1,,Dental,999312
ORAL REHABILITATION - Zoom Advance Whitening - fulll mouth,Oral Rehabilitation,1,DEN-710-1,1,"Description:

Indications: Zoom Advance Whitening - fulll mouth
Frequency:   Once
Repeat For:  None
# Sessions:  1",OPD,1,,Dental,999312
ORAL REHABILITATION - Post and Cure,Oral Rehabilitation,1,DEN-710-2,1,"Description:

Indications: Post and Cure
Frequency:   Once
Repeat For:  None
# Sessions:  1",OPD,1,,Dental,999312
ORAL REHABILITATION - Bleaching Full mouth,Oral Rehabilitation,1,DEN-710-3,1,"Description:

Indications: Bleaching Full mouth
Frequency:   Once
Repeat For:  None
# Sessions:  1",OPD,1,,Dental,999312
ORAL REHABILITATION - Dental Xray,Oral Rehabilitation,1,DEN-711,1,"Description:

Indications: Dental Xray
Frequency:   Once
Repeat For:  None
# Sessions:  1",OPD,1,,Dental,999312
ORAL REHABILITATION - Veneer Metal Free,Oral Rehabilitation,1,DEN-712-1,1,"Description:

Indications: Veneer Metal Free
Frequency:   Once
Repeat For:  None
# Sessions:  1",OPD,1,,Dental,999312
ORAL REHABILITATION - Dental Jewellery (Crystal),Oral Rehabilitation,1,DEN-712-2,1,"Description:

Indications: Dental Jewellery (Crystal)
Frequency:   Once
Repeat For:  None
# Sessions:  1",OPD,1,,Dental,999312
ORAL REHABILITATION - Cosmetic Countering,Oral Rehabilitation,1,DEN-712-3,1,"Description:

Indications: Cosmetic Countering
Frequency:   Once
Repeat For:  None
# Sessions:  1",OPD,1,,Dental,999312
Gum Treatment - Gum Flap Surgery,,1,DEN-713-1,1,"Description:

Indications: Gum Flap Surgery
Frequency:   Once
Repeat For:  None
# Sessions:  1",,1,,Dental,999312
Gum Treatment - Bone Grafting,,1,DEN-713-2,1,"Description:

Indications: Bone Grafting
Frequency:   Once
Repeat For:  None
# Sessions:  1",,1,,Dental,999312
Gum Treatment - Apicectomy,,1,DEN-713-3,1,"Description:

Indications: Apicectomy
Frequency:   Once
Repeat For:  None
# Sessions:  1",,1,,Dental,999312
Gum Treatment - Sinus Lift - one side,,1,DEN-713-4,1,"Description:

Indications: Sinus Lift - one side
Frequency:   Once
Repeat For:  None
# Sessions:  1",,1,,Dental,999312
Orthodontics - Braces Metallic,,1,DEN-714-1,1,"Description:

Indications: Braces Metallic
Frequency:   Once
Repeat For:  None
# Sessions:  1",,1,,Dental,999312
Orthodontics - Braces Ceramic,,1,DEN-714-2,1,"Description:

Indications: Braces Ceramic
Frequency:   Once
Repeat For:  None
# Sessions:  1",,1,,Dental,999312
Orthodontics - Clear Alligner Invisible Braces,,1,DEN-714-3,1,"Description:

Indications: Clear Alligner Invisible Braces
Frequency:   Once
Repeat For:  None
# Sessions:  1",,1,,Dental,999312
Orthodontics - Invisalign,,1,DEN-714-4,1,"Description:

Indications: Invisalign
Frequency:   Once
Repeat For:  None
# Sessions:  1",,1,,Dental,999312
Kids Oral Care - upto 12 years (Pediatric Oncology) - Oral Scaling and Polishing,,1,DEN-715-1,1,"Description:

Indications: Oral Scaling and Polishing
Frequency:   Once
Repeat For:  None
# Sessions:  1",,1,,Dental,999312
Kids Oral Care - upto 12 years (Pediatric Oncology) - Oral Filling,,1,DEN-715-2,1,"Description:

Indications: Oral Filling
Frequency:   Once
Repeat For:  None
# Sessions:  1",,1,,Dental,999312
Kids Oral Care - upto 12 years (Pediatric Oncology) - Dental Extraction,,1,DEN-715-3,1,"Description:

Indications: Dental Extraction
Frequency:   Once
Repeat For:  None
# Sessions:  1",,1,,Dental,999312
Kids Oral Care - upto 12 years (Pediatric Oncology) - Root Canal Treatment,,1,DEN-715-4,1,"Description:

Indications: Root Canal Treatment
Frequency:   Once
Repeat For:  None
# Sessions:  1",,1,,Dental,999312
